Day,identity,phase,gaze_relative_angle
1,Bottom_Left,Vortex_1,153.79485308702428
1,Bottom_Left,Vortex_1,156.14030551593632
1,Bottom_Left,Vortex_1,156.1860208929075
1,Bottom_Left,Vortex_1,156.24286735663313
1,Bottom_Left,Vortex_1,156.28962363662802
1,Bottom_Left,Vortex_1,156.30406603690682
1,Bottom_Left,Vortex_1,153.97757025839186
1,Bottom_Left,Vortex_1,156.34089438313967
1,Bottom_Left,Vortex_1,156.2743495885402
1,Bottom_Left,Vortex_1,156.26530822583914
1,Bottom_Left,Vortex_1,156.25565346518198
1,Bottom_Left,Vortex_1,156.24415588808498
1,Bottom_Left,Vortex_1,156.24415588808498
1,Bottom_Left,Vortex_1,152.8193147773213
1,Bottom_Left,Vortex_1,152.79883880558543
1,Bottom_Left,Vortex_1,152.8405156317068
1,Bottom_Left,Vortex_1,152.80901122409242
1,Bottom_Left,Vortex_1,152.79767429853052
1,Bottom_Left,Vortex_1,152.81945630765787
1,Bottom_Left,Vortex_1,154.09366031698983
1,Bottom_Left,Vortex_1,154.0629382763164
1,Bottom_Left,Vortex_1,154.08403234256923
1,Bottom_Left,Vortex_1,154.08460580314116
1,Bottom_Left,Vortex_1,154.0844260242444
1,Bottom_Left,Vortex_1,156.12546457873205
1,Bottom_Left,Vortex_1,156.1268140090945
1,Bottom_Left,Vortex_1,156.13932544588565
1,Bottom_Left,Vortex_1,156.1290208001358
1,Bottom_Left,Vortex_1,156.12188296613513
1,Bottom_Left,Vortex_1,156.07422729678328
1,Bottom_Left,Vortex_1,155.96589382150245
1,Bottom_Left,Vortex_1,155.95638193983584
1,Bottom_Left,Vortex_1,155.95638193983584
1,Bottom_Left,Vortex_1,155.95638193983584
1,Bottom_Left,Vortex_1,155.9547120799351
1,Bottom_Left,Vortex_1,154.6092201203406
1,Bottom_Left,Vortex_1,154.6097296553511
1,Bottom_Left,Vortex_1,154.565490118722
1,Bottom_Left,Vortex_1,154.54797939164064
1,Bottom_Left,Vortex_1,154.51381206692596
1,Bottom_Left,Vortex_1,154.5138305717795
1,Bottom_Left,Vortex_1,155.93228451253535
1,Bottom_Left,Vortex_1,155.9218793977646
1,Bottom_Left,Vortex_1,155.91898234307143
1,Bottom_Left,Vortex_1,155.91725589233354
1,Bottom_Left,Vortex_1,155.91392364208625
1,Bottom_Left,Vortex_1,157.31939630020042
1,Bottom_Left,Vortex_1,157.31914249864775
1,Bottom_Left,Vortex_1,157.35295753511602
1,Bottom_Left,Vortex_1,157.39441434731108
1,Bottom_Left,Vortex_1,157.42964345276434
1,Bottom_Left,Vortex_1,157.49078912378678
1,Bottom_Left,Vortex_1,157.5906815622143
1,Bottom_Left,Vortex_1,157.55695675519613
1,Bottom_Left,Vortex_1,157.57434295390493
1,Bottom_Left,Vortex_1,157.57648828767753
1,Bottom_Left,Vortex_1,157.57495917561397
1,Bottom_Left,Vortex_1,156.05727084945414
1,Bottom_Left,Vortex_1,156.05694161552267
1,Bottom_Left,Vortex_1,155.9729546260129
1,Bottom_Left,Vortex_1,155.9433590845082
1,Bottom_Left,Vortex_1,155.8764159382037
1,Bottom_Left,Vortex_1,155.84815887222652
1,Bottom_Left,Vortex_1,155.7780481234512
1,Bottom_Left,Vortex_1,155.76448237234376
1,Bottom_Left,Vortex_1,155.77234711439047
1,Bottom_Left,Vortex_1,155.79219073016813
1,Bottom_Left,Vortex_1,158.42896820253148
1,Bottom_Left,Vortex_1,156.6728329644241
1,Bottom_Left,Vortex_1,156.66982305432074
1,Bottom_Left,Vortex_1,158.43732183062122
1,Bottom_Left,Vortex_1,158.40807593283913
1,Bottom_Left,Vortex_1,158.3797145143506
1,Bottom_Left,Vortex_1,158.3943116638878
1,Bottom_Left,Vortex_1,158.39450382336864
1,Bottom_Left,Vortex_1,155.42288152279568
1,Bottom_Left,Vortex_1,155.3562245743018
1,Bottom_Left,Vortex_1,156.888541901269
1,Bottom_Left,Vortex_1,155.28594568565833
1,Bottom_Left,Vortex_1,155.27167107989644
1,Bottom_Left,Vortex_1,155.29321031552496
1,Bottom_Left,Vortex_1,155.33664273673017
1,Bottom_Left,Vortex_1,155.33334838998792
1,Bottom_Left,Vortex_1,155.51885001159204
1,Bottom_Left,Vortex_1,155.5628602155445
1,Bottom_Left,Vortex_1,155.5853895813134
1,Bottom_Left,Vortex_1,155.57162677191945
1,Bottom_Left,Vortex_1,155.57162677191945
1,Bottom_Left,Vortex_1,156.78017508837706
1,Bottom_Left,Vortex_1,156.79191437694595
1,Bottom_Left,Vortex_1,156.79759482673214
1,Bottom_Left,Vortex_1,156.78332863980714
1,Bottom_Left,Vortex_1,156.8043435312399
1,Bottom_Left,Vortex_1,156.8201754797947
1,Bottom_Left,Vortex_1,156.85017669432537
1,Bottom_Left,Vortex_1,156.86638533210623
1,Bottom_Left,Vortex_1,156.88998284695106
1,Bottom_Left,Vortex_1,155.34210459704983
1,Bottom_Left,Vortex_1,155.26526222912668
1,Bottom_Left,Vortex_1,156.87010894517692
1,Bottom_Left,Vortex_1,156.85817123264016
1,Bottom_Left,Vortex_1,156.84910498560745
1,Bottom_Left,Vortex_1,156.84918341834998
1,Bottom_Left,Vortex_1,155.62088800975604
1,Bottom_Left,Vortex_1,155.62457913170485
1,Bottom_Left,Vortex_1,155.66045729405508
1,Bottom_Left,Vortex_1,155.6154696098253
1,Bottom_Left,Vortex_1,155.65856264745034
1,Bottom_Left,Vortex_1,155.62908490096933
1,Bottom_Left,Vortex_1,155.6478382880988
1,Bottom_Left,Vortex_1,155.65053335990027
1,Bottom_Left,Vortex_1,156.69046908483097
1,Bottom_Left,Vortex_1,156.7021221724647
1,Bottom_Left,Vortex_1,156.772332289891
1,Bottom_Left,Vortex_1,156.73555704298306
1,Bottom_Left,Vortex_1,156.69995699735813
1,Bottom_Left,Vortex_1,156.66262924790053
1,Bottom_Left,Vortex_1,156.63994198227323
1,Bottom_Left,Vortex_1,156.64006665862624
1,Bottom_Left,Vortex_1,152.87796696799012
1,Bottom_Left,Vortex_1,152.8603857222817
1,Bottom_Left,Vortex_1,152.85203236150363
1,Bottom_Left,Vortex_1,152.80417329738148
1,Bottom_Left,Vortex_1,152.8015358709273
1,Bottom_Left,Vortex_1,152.81666041552123
1,Bottom_Left,Vortex_1,153.0566624177149
1,Bottom_Left,Vortex_1,152.9476164148699
1,Bottom_Left,Vortex_1,152.81311574240618
1,Bottom_Left,Vortex_1,152.8131064838395
1,Bottom_Left,Vortex_1,152.81311574240618
1,Bottom_Left,Vortex_1,153.62409688788418
1,Bottom_Left,Vortex_1,153.62417857269932
